abacus,abacuses|abaci,abacus's|abacus',abacuses'|abaci's
atherosclerosis,atheroscleroses,atherosclerosis's|atherosclerosis',atheroscleroses'
atlas,atlases,atlas's|atlas',atlases'
atmolysis,atmolyses,atmolysis's|atmolysis',atmolyses'
atomy,atomies,atomy's,atomies'
atrium,atria,atrium's,atria's
atrophy,atrophies,atrophy's,atrophies'
attorney-at-law,attorneys-at-law,attorney-at-law's,attorneys-at-law's
auditorium,auditoria,auditorium's,auditoria's
auditorium,auditoriums,auditorium's,auditoriums'
auntie,aunties,auntie's,aunties'
aura,aurae,aura's,aurae's
aura,auras,aura's,auras'
aureus,aurei,aureus's|aureus',aurei's
auricula,auriculae,auricula's,auriculae's
auricula,auriculas,auricula's,auriculas'
aurora,aurorae,aurora's,aurorae's
aurora,auroras,aurora's,auroras'
auspex,auspices,auspex's,auspices'
auspice,auspices,auspice's,auspices'
autarchy,autarchies,autarchy's,autarchies'
autarky,autarkies,autarky's,autarkies'
auto,autos,auto's,autos'
auto-da-fe,autos-da-fe,auto-da-fe's,autos-da-fe's
autoantibody,autoantibodies,autoantibody's,autoantibodies'
autobiography,autobiographies,autobiography's,autobiographies'
autocatalysis,autocatalyses,autocatalysis's|autocatalysis',autocatalyses'
autochthon,autochthones,autochthon's,autochthones'
autochthon,autochthons,autochthon's,autochthons'
autocracy,autocracies,autocracy's,autocracies'
autogiro,autogiros,autogiro's,autogiros'
autogyro,autogyros,autogyro's,autogyros'
automaton,automata,automaton's,automata's
automaton,automatons,automaton's,automatons'
autonomy,autonomies,autonomy's,autonomies'
autopsy,autopsies,autopsy's,autopsies'
autotomy,autotomies,autotomy's,autotomies'
avitaminosis,avitaminoses,avitaminosis's|avitaminosis',avitaminoses'
avocado,avocados,avocado's,avocados'
ax,axes,ax's,axes'
axilla,axillae,axilla's,axillae's
axis,axes,axis's|axis',axes'
axis,axises,axis's|axis',axises'
aymara,aymaras,aymara's,aymaras'
azerbaijani,azerbaijanis,azerbaijani's,azerbaijanis'
baby,babies,baby's,babies'
bacchant,bacchantes,bacchant's,bacchantes'
bacchant,bacchants,bacchant's,bacchants'
bacchante,bacchantes,bacchante's,bacchantes'
bacchius,bacchii,bacchius's|bacchius',bacchii's
bacillus,bacilli,bacillus's|bacillus',bacilli's
backwoodsman,backwoodsmen,backwoodsman's,backwoodsmen's
bacteriostasis,bacteriostases,bacteriostasis's|bacteriostasis',bacteriostases'
baculum,bacula,baculum's,bacula's
baculum,baculums,baculum's,baculums'
baddie,baddies,baddie's,baddies'
baddy,baddies,baddy's,baddies'
badman,badmen,badman's,badmen's
baggy,baggies,baggy's,baggies'
bagie,bagies,bagie's,bagies'
bagman,bagmen,bagman's,bagmen's
bagnio,bagnios,bagnio's,bagnios'
baht,bahts,baht's,bahts'
bailsman,bailsmen,bailsman's,bailsmen's
bain-marie,bains-marie,bain-marie's,bains-marie's
bakra,bakras,bakra's,bakras'
balcony,balconies,balcony's,balconies'
ballista,ballistae,ballista's,ballistae's
baluchi,baluchis,baluchi's,baluchis'
bambara,bambaras,bambara's,bambaras'
bambino,bambini,bambino's,bambini's
bambino,bambinos,bambino's,bambinos'
ban,bani,ban's,bani's
bandeau,bandeaux,bandeau's,bandeaux's
banderillero,banderilleros,banderillero's,banderilleros'
bandit,bandits,bandit's,bandits'
bandit,banditti,bandit's,banditti's
bandsman,bandsmen,bandsman's,bandsmen's
bandy,bandies,bandy's,bandies'
bandy-bandy,bandy-bandies,bandy-bandy's,bandy-bandies'
bankruptcy,bankruptcies,bankruptcy's,bankruptcies'
bantu,bantus,bantu's,bantus'
bargee,bargees,bargee's,bargees'
bargeman,bargemen,bargeman's,bargemen's
barklouse,barklice,barklouse's,barklice's
barman,barmen,barman's,barmen's
baronetcy,baronetcies,baronetcy's,baronetcies'
barony,baronies,barony's,baronies'
barotse,barotses,barotse's,barotses'
barracuda,barracudas,barracuda's,barracudas'
barramunda,barramundas,barramunda's,barramundas'
barramundi,barramundies,barramundi's,barramundies'
barramundi,barramundis,barramundi's,barramundis'
barranca,barrancas,barranca's,barrancas'
barranco,barrancos,barranco's,barrancos'
barrio,barrios,barrio's,barrios'
base,bases,base's,bases'
base_on_balls,bases-on-balls,base_on_balls's|base_on_balls',bases-on-balls'
base_on_balls,bases_on_balls,base_on_balls's|base_on_balls',bases_on_balls'
baseman,basemen,baseman's,basemen's
basidium,basidia,basidium's,basidia's
basidium,basidiia,basidium's,basidiia's
basileus,basileis,basileus's|basileus',basileis'
basis,bases,basis's|basis',bases'
basotho,basothos,basotho's,basothos'
basso,bassi,basso's,bassi's
basso,bassos,basso's,bassos'
basuto,basutos,basuto's,basutos'
bateau,bateaux,bateau's,bateaux's
batfish,batfishes,batfish's,batfishes'
bath,baths,bath's,baths'
batman,batmen,batman's,batmen's
batsman,batsmen,batsman's,batsmen's
batwoman,batwomen,batwoman's,batwomen's
bead-ruby,bead-rubies,bead-ruby's,bead-rubies'
beadsman,beadsmen,beadsman's,beadsmen's
beanie,beanies,beanie's,beanies'
beano,beanos,beano's,beanos'
beany,beanies,beany's,beanies'
bear,bears,bear's,bears'
beau,beaus,beau's,beaus'
beau,beaux,beau's,beaux's
beccafico,beccaficos,beccafico's,beccaficos'
beche-de-mer,beches-de-mer,beche-de-mer's,beches-de-mer's
bechuana,bechuanas,bechuana's,bechuanas'
bedesman,beadsmen,bedesman's,beadsmen's
bedesman,bedesmen,bedesman's,bedesmen's
bedouin,bedouins,bedouin's,bedouins'
beef,beeves,beef's,beeves'
beento,beentos,beento's,beentos'
beetfly,beetflies,beetfly's,beetflies'
behoof,behooves,behoof's,behooves'
bellman,bellmen,bellman's,bellmen's
belly,bellies,belly's,bellies'
bemba,bembas,bemba's,bembas'
beni,benis,beni's,benis'
benny,bennies,benny's,bennies'
