abacus,abacuses|abaci,abacus's|abacus',abacuses'|abaci's
libretto,librettos,libretto's,librettos'
lied,lieder,lied's,lieder's
liegeman,liegemen,liegeman's,liegemen's
life,lives,life's,lives'
liftman,liftmen,liftman's,liftmen's
ligula,ligulae,ligula's,ligulae's
ligula,ligulas,ligula's,ligulas'
likuta,makuta,likuta's,makuta's
lilo,lilos,lilo's,lilos'
lily,lilies,lily's,lilies'
limbo,limbos,limbo's,limbos'
limbus,limbi,limbus's|limbus',limbi's
limen,limens,limen's,limens'
limen,limina,limen's,limina's
limes,limites,limes's|limes',limites'
limulus,limuli,limulus's|limulus',limuli's
linctus,linctuses,linctus's|linctus',linctuses'
lineman,linemen,lineman's,linemen's
linesman,linesmen,linesman's,linesmen's
ling,lings,ling's,lings'
lingcod,lingcods,lingcod's,lingcods'
lingua,linguae,lingua's,linguae's
lingua_franca,lingua_francas,lingua_franca's,lingua_francas'
lingua_franca,linguae_francae,lingua_franca's,linguae_francae's
linkman,linkmen,linkman's,linkmen's
lionfish,lionfishes,lionfish's,lionfishes'
lipoma,lipomas,lipoma's,lipomas'
lipoma,lipomata,lipoma's,lipomata's
lira,liras,lira's,liras'
lira,lire,lira's,lire's
liriodendron,liriodendra,liriodendron's,liriodendra's
liriodendron,liriodendrons,liriodendron's,liriodendrons'
lit,litai,lit's,litai's
lit,lits,lit's,lits'
litany,litanies,litany's,litanies'
litas,litai,litas's|litas',litai's
litas,litu,litas's|litas',litu's
litho,lithos,litho's,lithos'
lithotomy,lithotomies,lithotomy's,lithotomies'
liturgy,liturgies,liturgy's,liturgies'
liveryman,liverymen,liveryman's,liverymen's
lixivium,lixiviia,lixivium's,lixiviia's
lixivium,lixiviums,lixivium's,lixiviums'
llano,llanos,llano's,llanos'
loaf,loaves,loaf's,loaves'
lobby,lobbies,lobby's,lobbies'
lobectomy,lobectomies,lobectomy's,lobectomies'
loblolly,loblollies,loblolly's,loblollies'
lobo,lobos,lobo's,lobos'
lobotomy,lobotomies,lobotomy's,lobotomies'
lobster,lobsters,lobster's,lobsters'
loco,locos,loco's,locos'
locoman,locomen,locoman's,locomen's
locule,locules,locule's,locules'
loculus,loculi,loculus's|loculus',loculi's
locus,loci,locus's|locus',loci's
loggia,loggias,loggia's,loggias'
loggia,loggie,loggia's,loggie's
logion,logia,logion's,logia's
logo,logos,logo's,logos'
logomachy,logomachies,logomachy's,logomachies'
lolly,lollies,lolly's,lollies'
loment,loments,loment's,loments'
lomentum,lomenmenta,lomentum's,lomenmenta's
longbowman,longbowmen,longbowman's,longbowmen's
longobard,longobardi,longobard's,longobardi's
longobard,longobards,longobard's,longobards'
longshoreman,longshoremen,longshoreman's,longshoremen's
loo,loos,loo's,loos'
looby,loobies,looby's,loobies'
looney,looneys,looney's,looneys'
loony,loonies,loony's,loonies'
lorica,loricae,lorica's,loricae's
lothario,lotharios,lothario's,lotharios'
louse,lice,louse's,lice's
louse,louses,louse's,louses'
lowerclassman,lowerclassmen,lowerclassman's,lowerclassmen's
luba,luba,luba's,luba's
luba,lubas,luba's,lubas'
lubritorium,lubritoria,lubritorium's,lubritoria's
lullaby,lullabies,lullaby's,lullabies'
lumen,lumens,lumen's,lumens'
lumen,lumina,lumen's,lumina's
lumpfish,lumpfishes,lumpfish's,lumpfishes'
lunacy,lunacies,lunacy's,lunacies'
lungfish,lungfishes,lungfish's,lungfishes'
lunula,lunulae,lunula's,lunulae's
lunule,lunules,lunule's,lunules'
luny,lunies,luny's,lunies'
lupercalia,lupercalias,lupercalia's,lupercalias'
lur,lures,lur's,lures'
lure,lures,lure's,lures'
lustre,lustra,lustre's,lustra's
lustrum,lustrums,lustrum's,lustrums'
lycee,lycees,lycee's,lycees'
lying-in,lyings-in,lying-in's,lyings-in's
lymphangitis,lymphangitides,lymphangitis's|lymphangitis',lymphangitides'
lymphoma,lymphomas,lymphoma's,lymphomas'
lymphoma,lymphomata,lymphoma's,lymphomata's
lymphopoiesis,lymphopoieses,lymphopoiesis's|lymphopoiesis',lymphopoieses'
lynx,lynxes,lynx's,lynxes'
lysis,lyses,lysis's|lysis',lyses'
lytta,lyttae,lytta's,lyttae's
lytta,lyttas,lytta's,lyttas'
maar,maare,maar's,maare's
maar,maars,maar's,maars'
macaco,macacos,macaco's,macacos'
macaroni,macaronies,macaroni's,macaronies'
macaroni,macaronis,macaroni's,macaronis'
maccaroni,maccaronies,maccaroni's,maccaronies'
maccaroni,maccaronis,maccaroni's,maccaronis'
machzor,machzorim,machzor's,machzorim's
mackerel,mackerels,mackerel's,mackerels'
macro,macros,macro's,macros'
macronucleus,macronuclei,macronucleus's|macronucleus',macronuclei's
macrosporangium,macrosporangia,macrosporangium's,macrosporangia's
macula,maculae,macula's,maculae's
macule,macules,macule's,macules'
madame,mesdames,madame's,mesdames'
mademoiselle,mesdemoiselles,mademoiselle's,mesdemoiselles'
madman,madmen,madman's,madmen's
madrona,madronas,madrona's,madronas'
madrone,madrones,madrone's,madrones'
madrono,madornos,madrono's,madornos'
maduro,maduros,maduro's,maduros'
madwoman,madwomen,madwoman's,madwomen's
maestro,maestros|maestri,maestro's,maestri's
maestro,maestros,06/04/2008maestro's,maestros'
mafioso,mafiosi|mafiosos,mafioso's,mafiosi's
magistracy,magistracies,magistracy's,magistracies'
magistrature,magistratures,magistrature's,magistratures'
magma,magmas|magmata,magma's,magmas'|magmata's
magneto,magnetos,magneto's,magnetos'
magnum,magnums,magnum's,magnums'
magus,magi,magus's|magus',magi's
magyar,magyars,magyar's,magyars'
mahican,mahicans,mahican's,mahicans'
mahogany,mahoganies,mahogany's,mahoganies'
mahzor,mahzorim,mahzor's,mahzorim's
mailman,mailmen,mailman's,mailmen's
major-domo,major-domos,major-domo's,major-domos'
major_axis,major-axes,major_axis's|major_axis',major-axes'
major_axis,major_axes,major_axis's|major_axis',major_axes'
mako,makos,mako's,makos'
malady,maladies,malady's,maladies'
malagasy,malagasies,malagasy's,malagasies'
malevolency,malevolencies,malevolency's,malevolencies'
malignancy,malignancies,malignancy's,malignancies'
malihini,malihinis,malihini's,malihinis'
malinke,malinkes,malinke's,malinkes'
malleolus,malleoli,malleolus's|malleolus',malleoli's
malleus,mallei,malleus's|malleus',mallei's
mambo,mambos,mambo's,mambos'
mamilla,mamillae,mamilla's,mamillae's
mamma,mammae,mamma's,mammae's
mammie,mammies,mammie's,mammies'
mammilla,mammillae,mammilla's,mammillae's
mammy,mammies,mammy's,mammies'
man,men,man's,men's
man-at-arms,men-at-arms,man-at-arms's|man-at-arms',men-at-arms'
man-of-war,men-o'-war,man-of-war's,men-o'-war's
man-of-war,men-of-war,man-of-war's,men-of-war's
man_of_letters,men_of_letters,man_of_letters's|man_of_letters',men_of_letters'
manchu,manchus,manchu's,manchus'
mandamus,mandamuses,mandamus's|mandamus',mandamuses'
mande,mandes,mande's,mandes'
maninke,maninkes,maninke's,maninkes'
manito,manitos,manito's,manitos'
manitou,manitous,manitou's,manitous'
manitu,manitus,manitu's,manitus'
manservant,manservants,manservant's,manservants'
manteau,manteaus,manteau's,manteaus'
manteau,manteaux,manteau's,manteaux's
mantis,mantes,mantis's|mantis',mantes'
mantis,mantises,mantis's|mantis',mantises'
manubrium,manubria,manubrium's,manubria's
manubrium,manubriums,manubrium's,manubriums'
manxman,manxmen,manxman's,manxmen's
maori,maoris,maori's,maoris'
maravedi,maravedis,maravedi's,maravedis'
marchesa,marchese,marchesa's,marchese's
marchese,marchesi,marchese's,marchesi's
maremma,maremme,maremma's,maremme's
markhoor,markhoors,markhoor's,markhoors'
markhor,markhors,markhor's,markhors'
markka,markkaa,markka's,markkaa's
marksman,marksmen,marksman's,marksmen's
marlin,marlins,marlin's,marlins'
marqueterie,marqueteries,marqueterie's,marqueteries'
marquis,marquises,marquis's|marquis',marquises'
marrano,marranos,marrano's,marranos'
marsupium,marsupia,marsupium's,marsupia's
marten,martens,marten's,martens'
martini,martinis,martini's,martinis'
martyrology,martyrologies,martyrology's,martyrologies'
marvel-of-peru,marvels-of-peru,marvel-of-peru's,marvels-of-peru's
masai,masais,masai's,masais'
mashie,mashies,mashie's,mashies'
mashona,mashonas,mashona's,mashonas'
mashy,mashies,mashy's,mashies'
maskalonge,maskalonges,maskalonge's,maskalonges'
maskanonge,maskanonges,maskanonge's,maskanonges'
mass,masses,mass's|mass',masses'
massachuset,massachusets,massachuset's,massachusets'
masse,masses,masse's,masses'
mastectomy,mastectomies,mastectomy's,mastectomies'
master-at-arms,masters-at-arms,master-at-arms's|master-at-arms',masters-at-arms'
mastoidectomy,mastoidectomies,mastoidectomy's,mastoidectomies'
matabele,matabeles,matabele's,matabeles'
matriarchy,matriarchies,matriarchy's,matriarchies'
matrimony,matrimonies,matrimony's,matrimonies'
matrix,matrices,matrix's,matrices'
matrix,matrixes,matrix's,matrixes'
matza,matzas,matza's,matzas'
matzah,matzahs,matzah's,matzahs'
matzo,matzos|matzoth,matzo's,matzos'|matzoth's
matzoh,matzohs,matzoh's,matzohs'
mau-mau,mau-maus,mau-mau's,mau-maus'
mauby,maubies,mauby's,maubies'
maundy,maundies,maundy's,maundies'
mausoleum,mausolea,mausoleum's,mausolea's
mausoleum,mausoleums,mausoleum's,mausoleums'
maxilla,maxillae,maxilla's,maxillae's
maximum,maxima,maximum's,maxima's
maya,mayas,maya's,mayas'
mayfly,mayflies,mayfly's,mayflies'
meanie,meanies,meanie's,meanies'
meany,meanies,meany's,meanies'
meatus,meatuses,meatus's|meatus',meatuses'
media,mediae,media's,mediae's
mediastinum,mediastina,mediastinum's,mediastina's
medico,medicos,medico's,medicos'
medium,media,medium's,media's
medium,mediums,medium's,mediums'
medulla,medullae,medulla's,medullae's
medulla,medullas,medulla's,medullas'
medulla_oblongata,medulla_oblongatas,medulla_oblongata's,medulla_oblongatas'
medulla_oblongata,medullae_oblongatae,medulla_oblongata's,medullae_oblongatae's
medusa,medusae,medusa's,medusae's
medusa,medusas,medusa's,medusas'
megaron,megara,megaron's,megara's
megasporangium,megasporangia,megasporangium's,megasporangia's
megillah,megillahs,megillah's,megillahs'
megillah,megilloth,megillah's,megilloth's
meinie,meinies,meinie's,meinies'
meiny,meinies,meiny's,meinies'
meiosis,meioses,meiosis's|meiosis',meioses'
meistersinger,meistersingers,meistersinger's,meistersingers'
melancholy,melancholies,melancholy's,melancholies'
melanoma,melanomas,melanoma's,melanomas'
melanoma,melanomata,melanoma's,melanomata's
melisma,melismas,melisma's,melismas'
melisma,melismata,melisma's,melismata's
melody,melodies,melody's,melodies'
memo,memos,memo's,memos'
memorandum,memoranda,memorandum's,memoranda's
memorandum,memorandums,memorandum's,memorandums'
meniscus,menisci,meniscus's|meniscus',menisci's
meniscus,meniscuses,meniscus's|meniscus',meniscuses'
menology,menologies,menology's,menologies'
menominee,menominees,menominee's,menominees'
menomini,menominis,menomini's,menominis'
menstruum,menstrua,menstruum's,menstrua's
menstruum,menstruums,menstruum's,menstruums'
merchantman,merchantmen,merchantman's,merchantmen's
mercy,mercies,mercy's,mercies'
merganser,mergansers,merganser's,mergansers'
merino,merinos,merino's,merinos'
meritocracy,meritocracies,meritocracy's,meritocracies'
merman,mermen,merman's,mermen's
mesenteron,mesentertera,mesenteron's,mesentertera's
mesothorax,mesothoraces,mesothorax's,mesothoraces'
mesothorax,mesothoraxes,mesothorax's,mesothoraxes'
metacarpus,metacarpi,metacarpus's|metacarpus',metacarpi's
metagalaxy,metagalaxies,metagalaxy's,metagalaxies'
metamorphosis,metamorphoses,metamorphosis's|metamorphosis',metamorphoses'
metanephros,metanephroi,metanephros's|metanephros',metanephroi's
metastasis,metastases,metastasis's|metastasis',metastases'
metatarsus,metatarsi,metatarsus's|metatarsus',metatarsi's
metathesis,metatheses,metathesis's|metathesis',metatheses'
metathorax,metathoraces,metathorax's,metathoraces'
metathorax,metathoraxes,metathorax's,metathoraxes'
metempsychosis,metempsychoses,metempsychosis's|metempsychosis',metempsychoses'
metencephalon,metencephala,metencephalon's,metencephala's
metencephalon,metencephalons,metencephalon's,metencephalons'
methodology,methodologies,methodology's,methodologies'
metif,metifs,metif's,metifs'
metonymy,metonymies,metonymy's,metonymies'
metro,metros,metro's,metros'
metrology,metrologies,metrology's,metrologies'
metropolis,metropolises,metropolis's|metropolis',metropolises'
mezuzah,mezuzahs,mezuzah's,mezuzahs'
mezuzah,mezuzoth,mezuzah's,mezuzoth's
mezzo,mezzos,mezzo's,mezzos'
mezzo-soprano,mezzo-sopranos,mezzo-soprano's,mezzo-sopranos'
mho,mhos,mho's,mhos'
miasma,miasmas,miasma's,miasmas'
miasma,miasmata,miasma's,miasmata's
micmac,micmacs,micmac's,micmacs'
microanalysis,microanalyses,microanalysis's|microanalysis',microanalyses'
micrococcus,micrococci,micrococcus's|micrococcus',micrococci's
microcopy,microcopies,microcopy's,microcopies'
micronucleus,micronuclei,micronucleus's|micronucleus',micronuclei's
micronucleus,micronucleuses,micronucleus's|micronucleus',micronucleuses'
microsporangium,microsporangia,microsporangium's,microsporangia's
microtomy,microtomies,microtomy's,microtomies'
middleman,middlemen,middleman's,middlemen's
middy,middies,middy's,middies'
midinette,midinettes,midinette's,midinettes'
midrash,midrashim,midrash's,midrashim's
midshipman,midshipmen,midshipman's,midshipmen's
midwife,midwives,midwife's,midwives'
miladi,miladies,miladi's,miladies'
milady,miladies,milady's,miladies'
milieu,milieus,milieu's,milieus'
milieu,milieux,milieu's,milieux's
militate_against,militated_against,militate_against's,militated_against's
militiaman,militiamen,militiaman's,militiamen's
milium,milia,milium's,milia's
milkfish,milkfishes,milkfish's,milkfishes'
milkman,milkmen,milkman's,milkmen's
millennium,millennia,millennium's,millennia's
millennium,millenniums,millennium's,millenniums'
million,millions,million's,millions'
milo,milos,milo's,milos'
mina,minae,mina's,minae's
mina,minas,mina's,minas'
minimum,minima,minimum's,minima's
minimum,minimums,minimum's,minimums'
ministerium,ministeria,ministerium's,ministeria's
minnow,minnows,minnow's,minnows'
minstrelsy,minstrelsies,minstrelsy's,minstrelsies'
minuteman,minutemen,minuteman's,minutemen's
minutia,minutiae,minutia's,minutiae's
minyan,minyanim,minyan's,minyanim's
minyan,minyans,minyan's,minyans'
miosis,mioses,miosis's|miosis',mioses'
mir,miri,mir's,miri's
miracidium,miracidiia,miracidium's,miracidiia's
miscellany,miscellanies,miscellany's,miscellanies'
mishna,mishnayoth,mishna's,mishnayoth's
mishnah,mishnayoth,mishnah's,mishnayoth's
missy,missies,missy's,missies'
mitochondrion,mitochondria,mitochondrion's,mitochondria's
mittimus,mittimuses,mittimus's|mittimus',mittimuses'
mitzvah,mitzvahs,mitzvah's,mitzvahs'
mitzvah,mitzvoth,mitzvah's,mitzvoth's
mixtec,mixtecs,mixtec's,mixtecs'
mlle,mlles,mlle's,mlles'
mobocracy,mobocracies,mobocracy's,mobocracies'
modiolus,modioli,modiolus's|modiolus',modioli's
modulus,moduli,modulus's|modulus',moduli's
mohave,mohaves,mohave's,mohaves'
mohawk,mohawks,mohawk's,mohawks'
mohican,mohicans,mohican's,mohicans'
mojave,mojaves,mojave's,mojaves'
mola,molas,mola's,molas'
molly,mollies,molly's,mollies'
moly,molies,moly's,molies'
momentum,momenta,momentum's,momenta's
momentum,momentums,momentum's,momentums'
momus,momi,momus's|momus',momi's
momus,momuses,momus's|momus',momuses'
mon,mons,mon's,mons'
monad,monades,monad's,monades'
monad,monads,monad's,monads'
monarchy,monarchies,monarchy's,monarchies'
monas,monades,monas's|monas',monades'
money,moneys,money's,moneys'
money,monies,money's,monies'
mongo,mongos,mongo's,mongos'
mongoe,mongoes,mongoe's,mongoes'
mongolian,mongolians,mongolian's,mongolians'
mongoose,mongooses,mongoose's,mongooses'
monkfish,monkfishes,monkfish's,monkfishes'
monochasium,monochasia,monochasium's,monochasia's
monocracy,monocracies,monocracy's,monocracies'
monody,monodies,monody's,monodies'
monopodium,monopodia,monopodium's,monopodia's
monopoly,monopolies,monopoly's,monopolies'
monopsony,monopsonies,monopsony's,monopsonies'
monopteron,monoptera,monopteron's,monoptera's
monopteros,monopteroi,monopteros's|monopteros',monopteroi's
monotony,monotonies,monotony's,monotonies'
monseigneur,messeigneurs,monseigneur's,messeigneurs'
monsieur,messieurs,monsieur's,messieurs'
monsignor,monsignori,monsignor's,monsignori's
monsignor,monsignors,monsignor's,monsignors'
mont-de-piete,monts-de-piete,mont-de-piete's,monts-de-piete's
montagnard,montagnards,montagnard's,montagnards'
montero,monteros,montero's,monteros'
monthly,monthlies,monthly's,monthlies'
mooncalf,mooncalves,mooncalf's,mooncalves'
moonfish,moonfishes,moonfish's,moonfishes'
mora,morae,mora's,morae's
mora,moras,mora's,moras'
moratorium,moratoria,moratorium's,moratoria's
moratorium,moratoriums,moratorium's,moratoriums'
morceau,morceaux,morceau's,morceaux's
mordvin,mordvins,mordvin's,mordvins'
morello,morellos,morello's,morellos'
moro,moros,moro's,moros'
morphallaxis,morphallaxes,morphallaxis's|morphallaxis',morphallaxes'
morphosis,morphoses,morphosis's|morphosis',morphoses'
morro,morros,morro's,morros'
morula,morulae,morula's,morulae's
morula,morulas,morula's,morulas'
mosasaur,mosasaurs,mosasaur's,mosasaurs'
mosasaurus,mosasauri,mosasaurus's|mosasaurus',mosasauri's
moshav,moshavim,moshav's,moshavim's
moslem,moslems,moslem's,moslems'
moslem,moslim,moslem's,moslim's
moslem,moslims,moslem's,moslims'
mosotho,mosothos,mosotho's,mosothos'
mossi,mossis,mossi's,mossis'
mother-in-law,mothers-in-law,mother-in-law's,mothers-in-law's
mother_superior,mother_superiors,mother_superior's,mother_superiors'
mother_superior,mothers_superior,mother_superior's,mothers_superior's
motorman,motormen,motorman's,motormen's
motu,motus,motu's,motus'
mountie,mounties,mountie's,mounties'
mouse,mice,mouse's,mice's
mouth,mouths,mouth's,mouths'
mouthful,mouthfuls,mouthful's,mouthfuls'
mucosa,mucosae,mucosa's,mucosae's
mucro,mucrones,mucro's,mucrones'
mudejar,mudejares,mudejar's,mudejares'
mudfish,mudfishes,mudfish's,mudfishes'
mufti,muftis,mufti's,muftis'
multipara,multiparae,multipara's,multiparae's
mummy,mummies,mummy's,mummies'
munda,mundas,munda's,mundas'
mungo,mungos,mungo's,mungos'
murex,murices,murex's,murices'
murphy,murphies,murphy's,murphies'
muscleman,musclemen,muscleman's,musclemen's
muskellunge,muskallunge,muskellunge's,muskallunge's
muskellunge,muskellunges,muskellunge's,muskellunges'
muskrat,muskrats,muskrat's,muskrats'
musky,muskies,musky's,muskies'
muslim,muslims,muslim's,muslims'
mussalman,mussalmans,mussalman's,mussalmans'
mussulman,mussulmans,mussulman's,mussulmans'
mustachio,mustachios,mustachio's,mustachios'
mutiny,mutinies,mutiny's,mutinies'
mycelium,mycelia,mycelium's,mycelia's
mycetoma,mycetomas,mycetoma's,mycetomas'
mycetoma,mycetomata,mycetoma's,mycetomata's
mycobacterium,mycobacteria,mycobacterium's,mycobacteria's
mycorhiza,mycorhizas,mycorhiza's,mycorhizas'
mycorrhiza,mycorrhizae,mycorrhiza's,mycorrhizae's
myelencephalon,myelencephala,myelencephalon's,myelencephala's
myelencephalon,myelencephalons,myelencephalon's,myelencephalons'
myiasis,myiases,myiasis's|myiasis',myiases'
myocardium,myocardia,myocardium's,myocardia's
myofibrilla,myofibrillae,myofibrilla's,myofibrillae's
myoma,myomas,myoma's,myomas'
myoma,myomata,myoma's,myomata's
myosis,myoses,myosis's|myosis',myoses'
myrmidon,myrmidones,myrmidon's,myrmidones'
myrmidon,myrmidons,myrmidon's,myrmidons'
mythology,mythologies,mythology's,mythologies'
mythos,mythoi,mythos's|mythos',mythoi's
myxoma,myxomas,myxoma's,myxomas'
myxoma,myxomata,myxoma's,myxomata's
naevus,naevi,naevus's|naevus',naevi's
naga,nagas,naga's,nagas'
nahuatl,nahuatls,nahuatl's,nahuatls'
naiad,naiades,naiad's,naiades'
naiad,naiads,naiad's,naiads'
nama,namas,nama's,namas'
namaqua,namaquas,namaqua's,namaquas'
namby-pamby,namby-pambies,namby-pamby's,namby-pambies'
nanny,nannies,nanny's,nannies'
naos,naoi,naos's|naos',naoi's
nappy,nappies,nappy's,nappies'
narcissus,narcissi,narcissus's|narcissus',narcissi's
narcissus,narcissuses,narcissus's|narcissus',narcissuses'
naris,nares,naris's|naris',nares'
narraganset,narragansets,narraganset's,narragansets'
narragansett,narragansetts,narragansett's,narragansetts'
nasopharynx,nasopharynges,nasopharynx's,nasopharynges'
nasopharynx,nasopharynxes,nasopharynx's,nasopharynxes'
natatorium,natatoria,natatorium's,natatoria's
natatorium,natatoriums,natatorium's,natatoriums'
naumachia,naumachiae,naumachia's,naumachiae's
naumachia,naumachias,naumachia's,naumachias'
naumachy,naumachies,naumachy's,naumachies'
nauplius,nauplii,nauplius's|nauplius',nauplii's
nautilus,nautili,nautilus's|nautilus',nautili's
nautilus,nautiluses,nautilus's|nautilus',nautiluses'
navy,navies,navy's,navies'
nazi,nazis,nazi's,nazis'
nebula,nebulae,nebula's,nebulae's
nebula,nebulas,nebula's,nebulas'
necrology,necrologies,necrology's,necrologies'
necropolis,necropoleis,necropolis's|necropolis',necropoleis'
necropolis,necropolises,necropolis's|necropolis',necropolises'
necropsy,necropsies,necropsy's,necropsies'
necroscopy,necroscopies,necroscopy's,necroscopies'
necrotomy,necrotomies,necrotomy's,necrotomies'
neddy,neddies,neddy's,neddies'
needlefish,needlefishes,needlefish's,needlefishes'
needlewoman,needlewomen,needlewoman's,needlewomen's
negus,neguses,negus's|negus',neguses'
nelumbo,nelumbos,nelumbo's,nelumbos'
nemesis,nemeses,nemesis's|nemesis',nemeses'
neologism,neologisms,neologism's,neologisms'
neology,neologies,neology's,neologies'
nephrectomy,nephrectomies,nephrectomy's,nephrectomies'
nephridium,nephridiia,nephridium's,nephridiia's
nephrotomy,nephrotomies,nephrotomy's,nephrotomies'
nereid,nereides,nereid's,nereides'
neurectomy,neurectomies,neurectomy's,neurectomies'
neurohypophysis,neurohypophyses,neurohypophysis's|neurohypophysis',neurohypophyses'
neuroma,neuromas,neuroma's,neuromas'
neuroma,neuromata,neuroma's,neuromata's
neuropteran,neuropterans,neuropteran's,neuropterans'
neuropteron,neuroptera,neuropteron's,neuroptera's
neurosis,neuroses,neurosis's|neurosis',neuroses'
neurotomy,neurotomies,neurotomy's,neurotomies'
neutretto,neutrettos,neutretto's,neutrettos'
neutrino,neutrinos,neutrino's,neutrinos'
nevus,nevi,nevus's|nevus',nevi's
newspaperman,newspapermen,newspaperman's,newspapermen's
newspapermen,newspaperwomen,newspapermen's,newspaperwomen's
newspaperwoman,newspaperwomen,newspaperwoman's,newspaperwomen's
nibelung,nibelungen,nibelung's,nibelungen's
nibelung,nibelungs,nibelung's,nibelungs'
nidus,nidi,nidus's|nidus',nidi's
niello,nielli,niello's,nielli's
niello,niellos,niello's,niellos'
nightie,nighties,nightie's,nighties'
nilgai,nilgai,nilgai's,nilgai's
nilgai,nilgais,nilgai's,nilgais'
nilghau,nilghaus,nilghau's,nilghaus'
nimbostratus,nimbostrati,nimbostratus's|nimbostratus',nimbostrati's
nimbus,nimbi,nimbus's|nimbus',nimbi's
nimbus,nimbuses,nimbus's|nimbus',nimbuses'
ninny,ninnies,ninny's,ninnies'
no,nos,no's,nos'
nobleman,noblemen,nobleman's,noblemen's
noblemen,noblewomen,noblemen's,noblewomen's
noblewoman,noblewomen,noblewoman's,noblewomen's
nobody,nobodies,nobody's,nobodies'
noctiluca,noctilucae,noctiluca's,noctilucae's
noddy,noddies,noddy's,noddies'
nodus,nodi,nodus's|nodus',nodi's
nomarchy,nomarchies,nomarchy's,nomarchies'
nomen,nomina,nomen's,nomina's
nomocracy,nomocracries,nomocracy's,nomocracries'
nomography,nomographies,nomography's,nomographies'
non-resistant,non-resistants,non-resistant's,non-resistants'
nonplus,nonpluses,nonplus's|nonplus',nonpluses'
norseman,norsemen,norseman's,norsemen's
northcountryman,northcountrymen,northcountryman's,northcountrymen's
northeasterly,northeasterlies,northeasterly's,northeasterlies'
northerly,northerlies,northerly's,northerlies'
northman,northmen,northman's,northmen's
northwesterly,northwesterlies,northwesterly's,northwesterlies'
notum,nota,notum's,nota's
noumenon,noumena,noumenon's,noumena's
nova,novae,nova's,novae's
nova,novas,nova's,novas'
novella,novellas,novella's,novellas'
novella,novelle,novella's,novelle's
novena,novenae,novena's,novenae's
nuba,nubas,nuba's,nubas'
nubecula,nubeculae,nubecula's,nubeculae's
nucellus,nucelli,nucellus's|nucellus',nucelli's
nucha,nuchae,nucha's,nuchae's
nucleolus,nucleoli,nucleolus's|nucleolus',nucleoli's
nucleus,nuclei,nucleus's|nucleus',nuclei's
nucleus,nucleuses,nucleus's|nucleus',nucleuses'
nullipara,nulliparae,nullipara's,nulliparae's
numbfish,numbfishes,numbfish's,numbfishes'
numen,numina,numen's,numina's
nuncio,nuncios,nuncio's,nuncios'
nupe,nupes,nupe's,nupes'
nuri,nuris,nuri's,nuris'
nurseryman,nurserymen,nurseryman's,nurserymen's
nyala,nyalas,nyala's,nyalas'
nyanja,nyanjas,nyanja's,nyanjas'
nylghau,nylghaus,nylghau's,nylghaus'
nympha,nymphae,nympha's,nymphae's
nympho,nymphos,nympho's,nymphos'
nympholepsy,nympholepsies,nympholepsy's,nympholepsies'
nyoro,nyoros,nyoro's,nyoros'
oarfish,oarfishes,oarfish's,oarfishes'
oarsman,oarsmen,oarsman's,oarsmen's
oasis,oases,oasis's|oasis',oases'
oath,oaths,oath's,oaths'
obbligato,obbligatos,obbligato's,obbligatos'
obeah,obeahs,obeah's,obeahs'
obelus,obeli,obelus's|obelus',obeli's
obi,obis,obi's,obis'
objet_d'art,objets_d'art,objet_d'art's,objets_d'art's
obligato,obligati,obligato's,obligati's
obloquy,obloquies,obloquy's,obloquies'
obol,obols,obol's,obols'
obolus,oboli,obolus's|obolus',oboli's
obstinacy,obstinacies,obstinacy's,obstinacies'
occiput,occipita,occiput's,occipita's
occiput,occiputs,occiput's,occiputs'
occupancy,occupancies,occupancy's,occupancies'
oceanarium,oceanariia,oceanarium's,oceanariia's
oceanarium,oceanariums,oceanarium's,oceanariums'
oceanid,oceanides,oceanid's,oceanides'
oceanid,oceanids,oceanid's,oceanids'
ocellus,ocelli,ocellus's|ocellus',ocelli's
ochlocracy,ochlocracies,ochlocracy's,ochlocracies'
ochrea,ochreae,ochrea's,ochreae's
ochrea,ocreae,ochrea's,ocreae's
ocotillo,ocotillos,ocotillo's,ocotillos'
ocrea,ocreae,ocrea's,ocreae's
octahedron,octahedra,octahedron's,octahedra's
octahedron,octahedrons,octahedron's,octahedrons'
octarchy,octarchies,octarchy's,octarchies'
octavo,octavos,octavo's,octavos'
octodecimo,octodecimos,octodecimo's,octodecimos'
octogenarian,octogenarians,octogenarian's,octogenarians'
octopus,octopuses,octopus's|octopus',octopuses'
odeum,odea,odeum's,odea's
oedema,oedemata,oedema's,oedemata's
oesophagus,oesophagi,oesophagus's|oesophagus',oesophagi's
oil-water_interface,oil-water_interfaces,oil-water_interface's,oil-water_interfaces'
oilman,oilmen,oilman's,oilmen's
ojibwa,ojibwas,ojibwa's,ojibwas'
okapi,okapis,okapi's,okapis'
oldwife,oldwives,oldwife's,oldwives'
oleum,olea,oleum's,olea's
oleum,oleums,oleum's,oleums'
oligarchy,oligarchies,oligarchy's,oligarchies'
oligopoly,oligopolies,oligopoly's,oligopolies'
oligopsony,oligopsonies,oligopsony's,oligopsonies'
olio,olios,olio's,olios'
ology,ologies,ology's,ologies'
omasum,omasa,omasum's,omasa's
omayyad,omayyades,omayyad's,omayyades'
omayyad,omayyads,omayyad's,omayyads'
ombudsman,ombudsmen,ombudsman's,ombudsmen's
omentum,omenta,omentum's,omenta's
ommatidium,ommatidtidia,ommatidium's,ommatidtidia's
